,fpr,tpr,threshold,sampleSize,Accuracy
49,0.005604857543204111,0.9108469539375929,0.505,0.22210376687988628,0.9808
50,0.005604857543204111,0.912332838038633,0.5,0.2224591329068941,0.9808306709265175
51,0.005604857543204111,0.9153046062407132,0.495,0.22316986496090974,0.9808917197452229
52,0.005604857543204111,0.9167904903417533,0.465,0.22352523098791754,0.9809220985691574
53,0.006071929005137786,0.9167904903417533,0.455,0.22388059701492535,0.9793650793650794
54,0.006071929005137786,0.9212481426448736,0.43,0.2249466950959488,0.9794628751974724
55,0.007006071929005138,0.9212481426448736,0.395,0.22565742714996445,0.9763779527559056
56,0.007006071929005138,0.924219910846954,0.38,0.22636815920398012,0.9764521193092622
57,0.007006071929005138,0.9271916790490342,0.375,0.22707889125799574,0.9765258215962441
58,0.007006071929005138,0.9301634472511144,0.36,0.22778962331201139,0.9765990639625586
59,0.007473143390938813,0.9316493313521546,0.355,0.22850035536602703,0.9751166407465007
60,0.008407286314806165,0.9316493313521546,0.35,0.22921108742004265,0.9720930232558139
61,0.008407286314806165,0.9346210995542348,0.345,0.2299218194740583,0.9721792890262752
62,0.008874357776739842,0.9346210995542348,0.335,0.23027718550106613,0.970679012345679
63,0.009808500700607193,0.9361069836552749,0.33,0.23134328358208955,0.967741935483871
64,0.010275572162540868,0.9361069836552749,0.325,0.2316986496090974,0.9662576687116564
65,0.010742643624474545,0.937592867756315,0.32,0.23240938166311303,0.9648318042813455
66,0.011209715086408221,0.937592867756315,0.315,0.23276474769012084,0.9633587786259542
67,0.011209715086408221,0.9390787518573551,0.31,0.23312011371712865,0.9634146341463415
68,0.013078000934142924,0.9390787518573551,0.305,0.23454157782515994,0.9575757575757575
69,0.0135450723960766,0.9405646359583952,0.3,0.23525230987917556,0.9561933534743202
70,0.014479215319943952,0.9420505200594353,0.295,0.236318407960199,0.9533834586466166
71,0.014479215319943952,0.9450222882615156,0.285,0.23702914001421466,0.9535232383808095
72,0.014946286781877626,0.9465081723625557,0.28,0.23773987206823027,0.9521674140508222
73,0.015413358243811303,0.9465081723625557,0.27,0.23809523809523808,0.9507462686567164
74,0.01681457262961233,0.9465081723625557,0.265,0.23916133617626154,0.9465081723625558
75,0.017281644091546006,0.9479940564635958,0.255,0.2398720682302772,0.9451851851851851
76,0.017748715553479684,0.9479940564635958,0.25,0.24022743425728502,0.9437869822485208
77,0.01914992993928071,0.9479940564635958,0.245,0.24129353233830847,0.9396170839469808
78,0.021018215787015414,0.9479940564635958,0.24,0.24271499644633976,0.9341142020497804
79,0.02148528724894909,0.9494799405646359,0.235,0.24342572850035538,0.9328467153284672
80,0.022886501634750117,0.9494799405646359,0.23,0.24449182658137883,0.9287790697674418
81,0.023353573096683792,0.9524517087667161,0.225,0.24555792466240228,0.9276410998552822
82,0.0270901447921532,0.9524517087667161,0.215,0.24840085287846483,0.9170243204577968
83,0.02802428771602055,0.9524517087667161,0.205,0.24911158493248048,0.9144079885877318
84,0.029425502101821578,0.9524517087667161,0.195,0.2501776830135039,0.9105113636363638
85,0.032227930873423634,0.9524517087667161,0.19,0.2523098791755508,0.9028169014084508
86,0.03269500233535731,0.9524517087667161,0.185,0.2526652452025587,0.9015471167369901
87,0.03549743110695937,0.9539375928677564,0.18,0.2551528073916134,0.8941504178272981
88,0.03736571695469407,0.9539375928677564,0.175,0.2565742714996447,0.889196675900277
89,0.03923400280242877,0.9554234769687965,0.17,0.2583511016346837,0.8844566712517195
90,0.039701074264362445,0.9583952451708767,0.165,0.2594171997157072,0.8835616438356165
91,0.04110228865016347,0.9583952451708767,0.16,0.2604832977967307,0.8799454297407913
92,0.04297057449789818,0.9583952451708767,0.155,0.2619047619047619,0.8751696065128902
93,0.04624007473143391,0.9583952451708767,0.15,0.26439232409381663,0.8669354838709679
94,0.04857543204110229,0.9583952451708767,0.145,0.26616915422885573,0.8611481975967958
95,0.051377860812704346,0.9583952451708767,0.14,0.26830135039090264,0.8543046357615895
96,0.053246146660439045,0.9598811292719168,0.135,0.27007818052594174,0.85
97,0.0560485754320411,0.9598811292719168,0.13,0.27221037668798864,0.8433420365535248
98,0.059318075665576835,0.9613670133729569,0.125,0.27505330490405117,0.8359173126614988
99,0.0639887902849136,0.9613670133729569,0.12,0.27860696517412936,0.8252551020408163
100,0.06819243344231668,0.9613670133729569,0.115,0.28180525941719975,0.815889029003783
101,0.07192900513778608,0.962852897473997,0.11,0.2850035536602701,0.8079800498753118
102,0.0751985053713218,0.9643387815750372,0.105,0.28784648187633266,0.8012345679012345
103,0.07986921999065857,0.9643387815750372,0.1,0.29140014214641086,0.7914634146341463
104,0.08687529191966371,0.9643387815750372,0.095,0.2967306325515281,0.7772455089820359
